Line,Breeding_Program,Kernel_Plumpness,Trial
FEG182-61,MN,82.71215341,CAP3_2008_BozemanIrr
FEG182-61,MN,79.5238,CAP3_2008_BozemanDry
FEG183-28,MN,87.52,CAP6Row_Irr_2012_FtCollins
FEG183-28,MN,86,SP6-NormN_2012_Pullman
FEG183-28,MN,81.50631539,SP6-LowN_2012_Pullman
FEG183-28,MN,78.8585214,SP6-LowN_2012_Prosper
FEG183-28,MN,76.405,SP6-LowN_2013_Prosper
FEG183-51,MN,88.0212,CAP3_2008_BozemanDry
FEG184-11,MN,83.875,SP6-NormN_2011_Crookston
FEG184-11,MN,80.5,SP6-LowN_2011_Crookston
FEG184-11,MN,77,SP6-NormN_2012_Pullman
FEG184-11,MN,76.22,CAP6Row_Dry_2012_FtCollins
FEG184-11,MN,76,SP6-LowN_2012_Crookston
FEG184-11,MN,75.92719356,CAP3_2008_BozemanIrr
FEG184-23,MN,89.4086,CAP3_2008_BozemanDry
FEG184-24,MN,79.88727846,CAP3_2008_BozemanIrr
FEG184-24,MN,73.0321,CAP3_2008_BozemanDry
FEG184-43,MN,88.7865,CAP3_2008_BozemanDry
FEG184-50,MN,74.9015257,CAP3_2008_BozemanIrr
FEG184-50,MN,72.9152,CAP3_2008_BozemanDry
FEG184-54,MN,88.875,SP6-NormN_2011_Crookston
FEG184-54,MN,83.5,SP6-LowN_2012_Crookston
FEG184-54,MN,83.07,CAP6Row_Irr_2012_FtCollins
FEG184-54,MN,81,SP6-NormN_2012_Crookston
FEG184-54,MN,80.46,CAP6Row_Dry_2012_FtCollins
FEG184-54,MN,78.79618581,CAP3_2008_BozemanIrr
FEG184-54,MN,75.5,SP6-NormN_2013_Prosper
FEG184-54,MN,72.2862,CAP3_2008_BozemanDry
FEG184-60,MN,74.4608248,CAP3_2008_BozemanIrr
FEG185-10,MN,83.82311683,CAP3_2008_BozemanIrr
FEG185-10,MN,83.0289,CAP3_2008_BozemanDry
FEG185-15,MN,83.6097,CAP3_2008_BozemanDry
FEG185-15,MN,83.5382074,CAP3_2008_BozemanIrr
FEG185-22,MN,82.77176664,CAP3_2008_BozemanIrr
FEG185-22,MN,80.1923,CAP3_2008_BozemanDry
FEG185-31,MN,84.98953574,CAP3_2008_BozemanIrr
FEG185-31,MN,79.6619,CAP3_2008_BozemanDry
